400000,2024-12-21,100000,300000,3,5000.0,2983222833903088
400001,2024-12-21,100000,300000,0,1.0,null
400002,2024-12-21,100000,300000,1,92500.0,null
400003,2024-12-21,100000,300000,0,5000.0,null
400004,2024-12-21,100000,300000,1,7000.0,null
400005,2024-12-21,100000,300006,1,50.0,null
400006,2024-12-22,100004,300007,1,500.0,null
400007,2024-12-22,100004,300007,2,500.0,null
400008,2024-12-22,100000,300000,2,500.0,null
400009,2024-12-22,100004,300007,2,123.0,null
400010,2024-12-22,100000,300000,2,123.0,null
400011,2024-12-22,100006,300011,2,1000.0,null
400012,2024-12-22,100000,300000,2,1000.0,null
400013,2024-12-22,100006,300011,3,3000.0,8978561618351656
400014,2024-12-22,100006,300011,3,2000.0,8978561618351656
400015,2024-12-22,100006,300011,1,1000.0,null
